A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
& d’vn Cardinal malade il ſe fait touſiours vn Pape qui ſe porte bien.	et d’un Cardinal malade il se fait toujours un Pape qui se porte bien.
A noſtre premiere veuë ie vous informeray du reſte, & vous donneray en demy heure toute l’experience que i’auray acquiſe :	À notre première vue je vous informerai du reste, et vous donnerai en demi heure toute l’expérience que j’aurai acquise:
Mais ſi ce contentement ne me vient pas ſi-toſt que ie le deſire, ne manquez pas à me faire ſçauoir de vos nouuelles, & de celles de nos bons amis.	Mais si ce contentement ne me vient pas sitôt que je le désire, ne manquez pas à me faire savoir de vos nouvelles, et de celles de nos bons amis.
Sur toutes les choſes ie vous ſupplie d’aſſeurer Monſieur de Mauroy, que ie ſuis paſſionément ſon ſeruiteur, & que ie treuue bien icy de la finneſſe & de la diſſimulation, mais non pas vne vertu pure, ny veritable comme la ſienne.	Sur toutes les choses je vous supplie d’assurer Monsieur de Mauroy, que je suis passionnément son serviteur, et que je trouve bien ici de la finesse et de la dissimulation, mais non pas une vertu pure, ni véritable comme la sienne.
A Rome le 20.	À Rome le 20.
Feurier 1621.	Février 1621.
Balzac.	Balzac.
A MONSIEVR DE LA MOTTE SAINCT SVRIN Lettre XLIII.	À MONSIEUR DE LA MOTTE saint SVRIN Lettre XLIII.
Monsievr, Encore qu’eſtant à Rome ie doiue craindre l’Inquiſition, neantmoins ie vous ayme ſi fort, que ie feray volontiers vn peché pour l’amour de vous, & me hazarderay de parler à vn excommunié afin d’auoir le contentement de vous entretenir.	Monsieur, Encore qu’étant à Rome je doive craindre l’Inquisition, néanmoins je vous aime si fort, que je ferai volontiers un péché pour l’amour de vous, et me hasarderai de parler à un excommunié afin d’avoir le contentement de vous entretenir.
Ce ſera pourtant s'il vous plaiſt, à la charge que vous me ferez vne reſponſe Catholique, & qu’on ne ſçaura point icy que i’aye d’intelligence auecque les Huguenots.	Ce sera pourtant s'il vous plaît, à la charge que vous me ferez une réponse Catholique, et qu’on ne saura point ici que j’aie d’intelligence avec les Huguenots.
Mais peut-eſtre que vous n’eſtes plus de ces gens là, & que le voyage de Bearn & la priſe de Prague vous ont conuerty :	Mais peut-être que vous n’êtes plus de ces gens là, et que le voyage de Béarn et la prise de Prague vous ont converti:
au moins il me ſemble que vous ſeriez bien aueuglé ſi vous ne vous haſtiez de ſortir d’vn vaiſſeau qui fait naufrage, & ſi vous ne conſideriez que ceux de voſtre party ſont ſi viuement pourſuiuis de tous coſtez, qu’ils ne ſe peuuent plus ſauuer qu’en ſe iettant dans l’Egliſe.	au moins il me semble que vous seriez bien aveuglé si vous ne vous hâtiez de sortir d’un vaisseau qui fait naufrage, et si vous ne considériez que ceux de votre parti sont si vivement poursuivis de tous côtés, qu’ils ne se peuvent plus sauver qu’en se jetant dans l’Église.
Ie pardonnerois à vn homme qui ſe laiſſeroit mourir en temps de peſte, mais à cette heure que la corruption à ceſſé, & que cette fatale influence eſt paſſée, ie ne trouuez pas mauuais ſi ie vous dy que vous ne ſçauriez plus eſtre malade que par voſtre faute.	Je pardonnerais à un homme qui se laisserait mourir en temps de peste, mais à cette heure que la corruption à cessé, et que cette fatale influence est passée, je ne trouvez pas mauvais si je vous dis que vous ne sauriez plus être malade que par votre faute.
Il ne faut pas que vous vous meſpreniez en cette occaſion, ny que l’exemple de nos voiſins ſoit cauſe que vous flattiez de quelque eſperance.	Il ne faut pas que vous vous mépreniez en cette occasion, ni que l’exemple de nos voisins soit cause que vous flattiez de quelque espérance.
Ce n’eſt qu’aux Pays-bas où il ſemble que Dieu fauoriſe les reuoltez ;	Ce n’est qu’aux Pays-bas où il semble que Dieu favoriſe les révoltez;
Par tout ailleurs il eſt du coſté de la Royauté, & il veut que nous laiſſions à ſa prouidence le changement des Eſtats, & la punition des Princes ſans toucher à vne choſe qu’ils s’eſt entierement reſeruée :	Partout ailleurs il est du côté de la Royauté, et il veut que nous laissions à sa providence le changement des États, et la punition des Princes sans toucher à une chose qu’ils s’est entièrement réservée:
pour moy, comme ie trouue bon que la puiſſance ſouueraine ſoit moderée par le conſeil des gens de bien, ie n’ay iamais approuué qu’elle fut affoiblie par la deſobeïſſance des rebelles.	pour moi, comme je trouve bon que la puissance souveraine soit modérée par le conseil des gens de bien, je n’ai jamais approuvé qu’elle fut affaiblie par la désobéissance des rebelles.
La liberté ne doit pas eſtre plus eſloignée de la ſeruiteude que de la licence, & pour rendre vn Eſtat heureux il faut qu’vn Prince ayme ſes ſubiets qui le redoutent.	La liberté ne doit pas être plus éloignée de la servitude que de la licence, et pour rendre un État heureux il faut qu’un Prince aime ses sujets qui le redoutent.
Vous m’aduoüerez que ceux de la Rochelle n’ont pas eſté iuſques icy de cette opinion :	Vous m’avouerez que ceux de la Rochelle n’ont pas été jusques ici de cette opinion:
Ils veulent touſiours auoir quelque choſe qui les diſpenſe de l’obeyſãce, & s’ils eſtoient aſseurez que le Roy ſe fit demain Huguenot, encore auiourd’huy ils ſeroient Catholiques.	Ils veulent toujours avoir quelque chose qui les dispense de l’obéissance, et s’ils étaient assurez que le Roi se fit demain Huguenot, encore aujourd’hui ils seraient Catholiques.
C’eſt vn peuple ennemy de l’ordre, & de la Police :	C’est un peuple ennemi de l’ordre, et de la Police:
Il ne peut ſouffrir que la teſte ſoit au deſſus des autres parties du corps ;	Il ne peut souffrir que la tête soit au dessus des autres parties du corps;
il voudroit ou degrader, ou eſteindre toute la Nobleſse.	il voudrait ou dégrader, ou éteindre toute la Noblesse.
Ne vous meſlez donc point, ſi vous me croyez, auec ces gens là, qui haiſsent en partie le Roy à cauſe qu’il eſt le premier Gentil-homme de ſon Royaume, & qui vous oſteront d’abord tous les aduantages que voſtre naiſſance vous a donnez ſur ceux qui ſont au deſsus de vous.	Ne vous mêlez donc point, si vous me croyez, avec ces gens là, qui haïssent en partie le Roi à cause qu’il est le premier Gentil-homme de son Royaume, et qui vous ôteront d’abord tous les avantages que votre naissance vous a donnez sur ceux qui sont au dessus de vous.
Parmy eux vn artizan ſera bien fondé de vous diſputer la preſeance ;	Parmi eux un artisan sera bien fondé de vous disputer la préséance;
il vaut beaucoup mieux eſtre de la maiſon de Ville, que de celle de Rohan, ou de la Trimoille.	il vaut beaucoup mieux être de la maison de Ville, que de celle de Rohan, ou de la Trémouille.
Et ſi cela eſt, voulez vous employer voſtre bien & voſtre fortune pour maintenir vne ſi honteuſe Tyrannie, & vous embarquer en cette guerre dans laquelle vous ne pouuez pas ſeulement eſperer des bleſſures honneſtes, ny vne mort innocente ;	Et si cela est, voulez vous employer votre bien et votre fortune pour maintenir une si honteuse Tyrannie, et vous embarquer en cette guerre dans laquelle vous ne pouvez pas seulement espérer des blessures honnêtes, ni une mort innocente;
Ie ne croy pas que vous ſoyez ſi ennemy de vous meſme, que de vous porter à vne telle reſolution, ny que vous faciez difficulté de changer auecque le temps, les hommes, & les affaires.	Je ne crois pas que vous soyez si ennemi de vous même, que de vous porter à une telle résolution, ni que vous fassiez difficulté de changer avec le temps, les hommes, et les affaires.
Il n’y a que ceux qui ſont ennuyés de viure qui s’attaquent auiourd’huy au Roy, & tout le monde demeure d’accord que rien ne luy eſt impoſſible en ſon Eſtat, & qu’il n’y a plus de ſalut hors de ſon ſeruice.	Il n’y a que ceux qui sont ennuyés de vivre qui s’attaquent aujourd’hui au Roi, et tout le monde demeure d’accord que rien ne lui est impossible en son État, et qu’il n’y a plus de salut hors de son service.
Ie vous aduoüe bien que la neceſſité à de cruelles armes, & que les morſures des beſtes qui ſont aux abbois ſont quelquefois dangereuſes :	Je vous avoue bien que la nécessité à de cruelles armes, et que les morsures des bêtes qui sont aux abois sont quelquefois dangereuses:
Mais vous m’aduoüerez auſſi qu’il y a vne infinité de remedes contre le deſeſpoir des vaincus, & qu’apres tout, la raiſon veut que les plus forts ſoient maiſtres des autres.	Mais vous m’avouerez aussi qu’il y a une infinité de remèdes contre le désespoir des vaincus, et qu’après tout, la raison veut que les plus forts soient maîtres des autres.
I’attens là deſſus de vos nouuelles, mais ie vous ſupplie qu’elles ſoient telle que ie les deſire, puis qu’il eſt en voſtre pouuoir de les faire bonnes ou mauuaiſe, & que ſi vous n’auez deſſein de vous perdre, vous pouuez encore paſſer du coſté de la victoire.	J’attends là dessus de vos nouvelles, mais je vous supplie qu’elles soient telle que je les désire, puis qu’il est en votre pouvoir de les faire bonnes ou mauvaise, et que si vous n’avez dessein de vous perdre, vous pouvez encore passer du côté de la victoire.
Le XI.	Le XI.
Mars.	Mars.
1621	1621
Balzac.	Balzac.
ADVIS DE L’IMPRIMEVR AV LECTEVR [Advis de l’imprimeur] IVſques icy il eſt permis aux Religieuſes de lire :	ADVIS DE L’IMPRIMEUR AU LECTEUR [Avis de l’imprimeur] Jusques ici il est permis aux religieuses de lire:
Mais pour les dix lettres ſuiuantes elles peuuent ſe fermer les yeux, ou s’imaginer que c’est en Grec, qu’elles ſont eſcrites.	Mais pour les dix lettres suivantes elles peuvent se fermer les yeux, ou s’imaginer que c’est en Grec, qu’elles sont écrites.
Au reste on à ſauué cecy de l’embrazement d’vne infinité de pieces ſemblables que l’Autheur a bruſlées de ſes propres mains, & ce n’eſt ny de ſon ſçeu, ny de ſon conſentement que ie vous le donne.	Au reste on à sauvé ceci de l’embrasement d’une infinité de pièces semblables que l’Auteur a brûlées de ses propres mains, et ce n’est ni de son su, ni de son consentement que je vous le donne.
Dv Bray.	Dv Bray.
A OLYMPE Lettre XLIV.	À OLYMPE Lettre XLIV.
I’Ay bien de la peine à treuuer la cauſe de vos larmes, car pour la mort de voſtre mary ce n’en peut-eſtre que le pretexte.	J’ai bien de la peine à trouver la cause de vos larmes, car pour la mort de votre mari ce n’en peut-être que le prétexte.
Il n’y a point d’apparẽce que ce qui fait que les plus belles choſes offenſent la clairté du iour & font peur à ceux qui les auoient admirées, vous ait rendu agreable celuy qui ne le fut iamais à perſonne ;	Il n’y a point d’apparence que ce qui fait que les plus belles choses offensent la clarté du jour et font peur à ceux qui les avaient admirées, vous ait rendu agréable celui qui ne le fut jamais à personne;
neantmoins il ſemble qu’apres luy il ne vous eſt rien demeuré de reſte, & vous ioüez ſi bien le perſonnage d’vne affligée, que ie ne ſçay plus que croire de ce que ie voy.	néanmoins il semble qu’après lui il ne vous est rien demeuré de reste, et vous jouez si bien le personnage d’une affligée, que je ne sais plus que croire de ce que je vois.
Seroit-il poſſible que vous euſſiez de la peine à ſupporter patiemment voſtre bonne fortune, & que la perte d’vn homme vous fut ſenſible, de la vie duquel ie penſois qu’il falloit vous conſoler ? Mais ſi cela n’eſt pas, que voulez vous faire de ce grand deüil dans lequel vous vous eſtes enfermée, & de cette nuict qui ne part iamais de voſtre chambre ? Il faut aduoüer que ie ne fus iamais plus eſtõné que de trouuer au tour de vous vn tel equipage de triſteſſe, auec des actions ſi eſtudiées, & des mines ſi contraintes ;	Serait-il possible que vous eussiez de la peine à supporter patiemment votre bonne fortune, et que la perte d’un homme vous fut sensible, de la vie duquel je pensais qu’il fallait vous consoler? Mais si cela n’est pas, que voulez vous faire de ce grand deuil dans lequel vous vous êtes enfermée, et de cette nuit qui ne part jamais de votre chambre? Il faut avouer que je ne fus jamais plus étonné que de trouver au tour de vous un tel équipage de tristesse, avec des actions si étudiées, et des mines si contraintes;
Et ſans mentir, Olympe, apres ce que i’ay veu, il ne vous manque rien que de porter des chemiſes noires, & de vous faire ſeruir par des Mores.	Et sans mentir, Olympe, après ce que j’ai vu, il ne vous manque rien que de porter des chemises noires, et de vous faire servir par des Mores.
Toutesfois il eſt temps ou iamais, non que vous rentriez en voſtre bon ſens, & que vous finiſſiez voſtre Comedie.	Toutefois il est temps ou jamais, non que vous rentriez en votre bon sens, et que vous finissiez votre Comédie.
Laiſſez moy, ie vous prie, tout cela aux ſottes, quittez cet habit qui m’empeſche de vous voir, & ſouuenez vous que cinq pieds de terre vous vallent vingt mille liures de rente.	Laissez moi, je vous prie, tout cela aux sottes, quittez cet habit qui m’empêche de vous voir, et souvenez vous que cinq pieds de terre vous valent vingt mille livres de rente.
Pour en faire autant il faudroit tout le Royaume d’Eſcoſſe, ou la meilleure de ſes Prouinces ;	Pour en faire autant il faudrait tout le Royaume d’Écosse, ou la meilleure de ses provinces;
& vous ne ſçauriez m’accuſer de ne dire pas en cela la verité, puis que ie la tiens de voſtre bouche :	et vous ne sauriez m’accuser de ne dire pas en cela la vérité, puisque je la tiens de votre bouche:
c’eſt pourtant vne choſe incroyable qu’vn ſi petit eſpace ſoit de ſi grand reuenu, & force gens penſeront qu’il porte des diamãs, ou des perles ;	c’est pourtant une chose incroyable qu’un si petit espace soit de si grand revenu, et force gens penseront qu’il porte des diamants, ou des perles;
Mais i’oubliois ce que i’ay de plus important à vous faire ſçauoir, & le premier deſſein de ma lettre.	Mais j’oubliais ce que j’ai de plus important à vous faire savoir, et le premier dessein de ma lettre.
Au moins donnez vous biẽ garde de reparer iamais la perte que vous venez de faire, & imaginez vous qu’il n’y a perſonne au monde qui merite de vous poſseder tout ſeul.	Au moins donnez vous bien garde de réparer jamais la perte que vous venez de faire, et imaginez vous qu’il n’y a personne au monde qui mérite de vous posséder tout seul.
Vous rendriez cõte à Dieu des qualitez qu’il vous a données pour commander aux hommes, ſi vous ne pouuiez viure ſans obeïr à quelqu’vn.	Vous rendriez compte à Dieu des qualités qu’il vous a données pour commander aux hommes, si vous ne pouviez vivre sans obéir à quelqu’un.
Et en cecy, Olympe, il ne faut pas que la vanité d’eſtre femme d’vn grand Seigneur vous emporte, ny que l’aduantage d’entrer en caroſſe au Louure vous face perdre celuy que vous auez d’eſtre Reyne de vous meſme.	Et en ceci, Olympe, il ne faut pas que la vanité d’être femme d’un grand seigneur vous emporte, ni que l’avantage d’entrer en carrosse au Louvre vous face perdre celui que vous avez d’être Reine de vous même.
Quelque or qu’on mette à faire des chaiſnes, & quelque eſclatante que ſoit la ſeruitude, croyez moy que ce ſont touſiours deux mauuaiſes choſes.	Quelque or qu’on mette à faire des chaînes, et quelque éclatante que soit la servitude, croyez moi que ce sont toujours deux mauvaises choses.
Dernierement il n’y auoit pas vne ſeule partie de voſtre corps, qui ne fut à vn autre ;	Dernièrement il n’y avait pas une seule partie de votre corps, qui ne fut à un autre;
il vouloit ſçauoir vos ſonges & vos penſées, vous ne pouuiez pas diſpoſer d’vn de vos cheueux, il vous auoit oſté iuſqu’à voſtre nom.	il voulait savoir vos songes et vos pensées, vous ne pouviez pas disposer d’un de vos cheveux, il vous avait oſté jusqu’à votre nom.
Voyla que c’eſt Olympe, d’auoir vn mary, & ce que vous pleurez auec de ſi groſſes larmes :	Voilà que c’est Olympe, d’avoir un mari, et ce que vous pleurez avec de si grosses larmes:
Ie treuue pour moy que c’eſt tout ce que vous deuriez faire s’il eſtoit reſuſcité, ou que la nouuelle de ſa mort fut fauſſe.	Je trouve pour moi que c’est tout ce que vous devriez faire s’il était ressuscité, ou que la nouvelle de sa mort fut fausse.
Le 20.	Le 20.
Iuillet 1620.	Juillet 1620.
A PHILANDRE Lettre XLV.	À PHILANDRE Lettre XLV.
IE vous prie de garder vos conſeils pour ceux qui ne ſont pas encore reſolus, & d’aller perſuader le mariage au Prince d’Aurange, afin qu’il face des Capitaines pour vn autre ſiecle.	Je vous prie de garder vos conseils pour ceux qui ne sont pas encore résolus, et d’aller persuader le mariage au Prince d’Orange, afin qu’il face des Capitaines pour un autre siècle.
Quant à moy i’ayme la ſolitude & la compagnie, mais ie ne veux que l’vne ny l’autre ſoit perpetuelle ;	Quant à moi j’aime la solitude et la compagnie, mais je ne veux que l’une ni l’autre soit perpétuelle;
& ſi mon pere euſt eſté de mon aduis, ie ſerois encore au lieu où i’eſtois deuant ma naiſſance.	et si mon père eût été de mon avis, je serais encore au lieu où j’étais devant ma naissance.
Ie croy bien que celle que vous me voulez donner eſt belle, mais attendez vn peu, elle ne le ſera plus ;	Je crois bien que celle que vous me voulez donner est belle, mais attendez un peu, elle ne le sera plus;
Elle n’eſt pas ſotte, mais peut-eſtre auſſi ell’eſt plus habile qu’il n’eſt neceſſaire de l’eſtre à vne femme de bien ;	Elle n’est pas sotte, mais peut-être aussi elle est plus habile qu’il n’est nécessaire de l’être à une femme de bien;
Ell’eſt riche, mais il n’y a point de prix auquel ie veuïlle mettre ma liberté.	Elle est riche, mais il n’y a point de prix auquel je veuille mettre ma liberté.
Tant y a que pour me faire changer de reſolution, il faudroit vn exprés commandement de Dieu qui me propoſaſt ou la mort, ou vne femme :	Tant y a que pour me faire changer de résolution, il faudrait un exprès commandement de Dieu qui me proposaſt ou la mort, ou une femme:
à Paris elles ſont d’ordinaire ſi ſauãtes qu’elles n’apprenent rien de nouueau le iour de leurs nopces, & icy elles n’ont pas ſeulement aſſez d’eſprit pour donner du mouuement à leur corps, mais par tout elles font des mal-heureux, auſſi biẽ que la fieure, la pauureté & la guerre :	à Paris elles sont d’ordinaire si savantes qu’elles n’apprennent rien de nouveau le jour de leurs noces, et ici elles n’ont pas seulement assez d’esprit pour donner du mouvement à leur corps, mais par tout elles font des malheureux, aussi bien que la fièvre, la pauvreté et la guerre:
pour vous dire franchement ce qui en eſt, ie ne veux point eſtre en peine de cõter tous les iours les cheueux de celle que i’eſpouſeray, afin qu’elle ne donne de ſes faueurs à perſonne, ny de craindre que toutes les femmes qui la viendront voir ſoient des hommes deſguiſez :	pour vous dire franchement ce qui en est, je ne veux point être en peine de compter tous les jours les cheveux de celle que j’épouserai, afin qu’elle ne donne de ses faveurs à personne, ni de craindre que toutes les femmes qui la viendront voir soient des hommes déguisés:
Ie ne ſçaurois ſouffrir qu’en mon abſence elle & ſon galand boiuent à la ſanté de leur cocu, & que ie ſois le ſubiet de tous leurs contes :	Je ne saurais souffrir qu’en mon absence elle et son galant boivent à la santé de leur cocu, et que je sois le sujet de tous leurs contes:
Et de l’autre coſté, ce ſeroit beaucoup pis ſi elle eſtoit chaſte & faſcheuſe, & que i’euſſe vn ennemy de iour & de nuict qui me fait la guerre :	Et de l’autre côté, ce serait beaucoup pis si elle était chaste et fâcheuse, et que j’eusse un ennemi de jour et de nuit qui me fait la guerre:
I’ayme encore mieux le vice pourueu qu’il ſoit docile, que la vertu quand elle eſt farouche, mais s’il y a moyen, ie ne veux point eſtre reduit à choiſir les plus petits maux, puis qu’il n’y en a point que ie n’eſtime tres grands.	J’aime encore mieux le vice pourvu qu’il soit docile, que la vertu quand elle est farouche, mais s’il y a moyen, je ne veux point être réduit à choisir les plus petits maux, puis qu’il n’y en a point que je n’estime très grands.
En vn mot, Philandre, l’exemple de noſtre voiſin me fait peur, qui a mis au monde tant de muës, de borgnes, & de boiteux, qu’il en pourroit remplir tout vn hoſpital.	En un mot, Philandre, l’exemple de notre voisin me fait peur, qui a mis au monde tant de mues, de borgnes, et de boiteux, qu’il en pourrait remplir tout un hôpital.
Ie ne veux point eſtre obligé d’aymer des mõſtres à cauſe que ie les auray faits ;	Je ne veux point être obligé d’aimer des monstres à cause que je les aurai faits;
Et quand ie ſerois aſſeuré de ne faillir pas en cela, ie me paſſeray bien d’auoir des enfans qui deſireront ma mort s’ils ſont meſchans, qui l’attendront s’ils ſont ſages, & qui y ſongeront quelquefois encore qu’ils ſoient les plus gens de bien du monde.	Et quand je serais assuré de ne faillir pas en cela, je me passerai bien d’avoir des enfants qui désireront ma mort s’ils sont méchants, qui l’attendront s’ils sont sages, et qui y songeront quelquefois encore qu’ils soient les plus gens de bien du monde.
Mais vous me direz peut-eſtre, que ſi ma reſolution eſtoit generalement ſuiuie, la mer ne ſeroit plus couuerte de vaiſſeaux, & la terre deuiendroit deſerte ;	Mais vous me direz peut-être, que si ma résolution était généralement suivie, la mer ne serait plus couverte de vaisseaux, et la terre deviendrait déserte;
A cela ie vous reſpons Philandre, que puis que le monde ne doit pas touſiours durer, il vaudroit beaucoup mieux que ce fut la vertu qui le fit ceſſer, que toute autre choſe, & qu’il ne ſçauroit iamais auoir vne fin plus belle ny plus honneſte.	À cela je vous réponds Philandre, que puisque le monde ne doit pas toujours durer, il vaudrait beaucoup mieux que ce fut la vertu qui le fit cesser, que toute autre chose, et qu’il ne saurait jamais avoir une fin plus belle ni plus honnête.
★ Balzac.	★ Balzac.
Le 7.	Le 7.
Auril 1618.	Avril 1618.
A MONSIEVR D’ambleville.	A MONSIEUR D’ambleville.
Lettre XLVI.	Lettre XLVI.
Monsievr, Ie vous attens en la ſaiſon du iaſmin	Monsieur, Je vous attends en la saison du Jasmin
& des roſes, & ie vous fais l’eſſay des plaiſirs de Rome afin que vous ne ſoyez pas empoiſonné à voſtre arriuée.	et des roſes, et je vous fais l’essai des plaisirs de Rome afin que vous ne soyez pas empoisonné à votre arrivée.
Il eſt certain que nous ſommes icy au païs des belles choſes, & que pour y eſtre heureux il faut ſeulement n’eſtre pas aueugle.	Il est certain que nous sommes ici au pays des belles choses, et que pour y être heureux il faut seulement n’être pas aveugle.
Le Soleil a encore la force de nous meurir des raiſons, & de nous faire naiſtre des fleurs, & tout l’hyuer tombe ſur les montaignes voiſines, afin que nous ne manquions point de neige pour le mois d’Aouſt.	Le soleil a encore la force de nous mûrir des raisons, et de nous faire naître des fleurs, et tout l’hiver tombe sur les montagnes voisines, afin que nous ne manquions point de neige pour le mois d’Août.
Mais ſi vous voulez que ie vienne aux choſes plus eſſentielles, & que ie ne vous cele rien, vous deuez ſçauoir qu’il n’y a lieu au monde où la vertu ſoit ſi proche du vice, ny ou bien ſoit plus meſlé auecque le mal ;	Mais si vous voulez que je vienne aux choses plus essentielles, et que je ne vous cele rien, vous devez savoir qu’il n’y a lieu au monde où la vertu soit si proche du vice, ni ou bien soit plus mêlé avec le mal;
On voit des miracles d’vn coſté, & de l’autre des Monſtres, & au meſme temps que les vns ſe donnent la diſcipline, les autres ſe baiſent, ou font quelque choſe de plus ſale :	On voit des miracles d’un côté, et de l’autre des monstres, et au même temps que les uns se donnent la discipline, les autres se baiſent, ou font quelque chose de plus sale:
Outre cela, ;	Outre cela,;
il y a vne auſſi grande paix qu’en cette partie de l’air, qui eſt eſleuée au deſſus des vens & de l’orage ;	il y a une aussi grande paix qu’en cette partie de l’air, qui est élevée au dessus des vents et de l’orage;
l’oyſiueté eſt le meſtier des honneſtes gens, & pour ſauuer la moitié du monde vn homme ne ſe leueroit pas de table à la haſte de peur de troubler la digeſtion :	l’oisiveté est le métier des honnêtes gens, et pour sauver la moitié du monde un homme ne se lèverait pas de table à la hâte de peur de troubler la digestion:
Que ſi par fois vous en voyez quelqu’vn qui ſoit bleſſé au viſage, ne penſez pas pour cela que ce ſoient des marques de l’aduantage de ſon ennemy, car ce ſont ſeulement des faueurs de ſa maiſtreſſe :	Que si par fois vous en voyez quelqu’un qui soit blessé au visage, ne pensez pas pour cela que ce soient des marques de l’avantage de son ennemi, car ce sont seulement des faveurs de sa maîtresse:
Mais en recompenſe on vous en monſtrera dõt la ſainteté eſclaire toute l’Egliſe :	Mais en récompense on vous en montrera dont la sainteté éclaire toute l’Église:
Ce ſont leurs prieres qui gaignent les victoires des armées :	Ce sont leurs prières qui gagnent les victoires des armées:
ce ſont leurs ieuſnes qui font venir l’abõdance ſur la terre :	ce sont leurs jeûnes qui font venir l’abondance sur la terre:
c’eſt leur innocence qui conſerue les coupables.	c’est leur innocence qui conserve les coupables.
En vn mot il y a de ſi grands exemples de vertu, & de ſi belles occaſions de pecher, que ie ne m’eſtonneray point ſi vous vous y faites homme de bien, & ie vous pardonneray auſſi volontiers ſi vous ne le faites pas.	En un mot il y a de si grands exemples de vertu, et de si belles occasions de pécher, que je ne m’étonnerai point si vous vous y faites homme de bien, et je vous pardonnerai aussi volontiers si vous ne le faites pas.
Veritablement comme la nouuelle Eſpagne eſt Païs de l’or ;	Véritablement comme la nouvelle Espagne est pays de l’or;
& comme l’Afrique porte les Lyons, & la France les Soldats, auſſi l’Italie eſt la mere des choſes que vous aymez dauantage :	et comme l’Afrique porte les lions, et la France les soldats, aussi l’Italie est la mère des choses que vous aimez davantage:
Quand vous les verrez ſur les lieux, & que vous comparerez leur beauté auec la mauuaiſe mine des Italiens, ie ne doute point qu’il ne vous ſemble auſſi bien qu’à moy, que ces diuines femmes ſe ſont faites toutes ſeules, ou que ce ſoit des Reynes qui ſe ſont mariées à leurs valets.	Quand vous les verrez sur les lieux, et que vous comparerez leur beauté avec la mauvaise mine des Italiens, je ne doute point qu’il ne vous semble aussi bien qu’à moi, que ces divines femmes se sont faites toutes seules, ou que ce soit des Reines qui se sont mariées à leurs valets.
La pluſpart de celles de de là les monts n’ont de beauté que ce qu’il en faut pour n’eſtre pas laides ;	La plupart de celles de de là les monts n’ont de beauté que ce qu’il en faut pour n’être pas laides;
& s’il y en a quelqu’vne dont le viſage vous plaiſe, ce ſera peut-eſtre vn Palais des-habité, ou vne beſte agreable.	et s’il y en a quelqu’une dont le visage vous plaise, ce sera peut-être un Palais des-habité, ou une bête agréable.
Mais icy elles naiſſent generallement eloquentes, & ie vous apprens de bonne heure qu’en vne meſme perſonne vous trouuerez voſtre maiſtre, & voſtre maiſtreſſe.	Mais ici elles naissent généralement éloquentes, et je vous apprends de bonne heure qu’en une même personne vous trouverez votre maître, et votre maîtresse.
Pour moy, i’aduoüe franchement que ie ne vy plus ſous le regne de Clorinde, & tout ce qui m’eſt permis au lieu où ie ſuis, c’eſt d’honnorer encore vn peu ſa memoire.	Pour moi, j’avoue franchement que je ne vis plus sous le règne de Clorinde, et tout ce qui m’est permis au lieu où je suis, c’est d’honorer encore un peu sa mémoire.
Ie m’attens bien qu’en cét endroit vous m’accuſerez de legereté & de trahiſon, & que vous me voudrez dire des iniures :	Je m’attends bien qu’en cet endroit vous m’accuserez de légèreté et de trahiſon, et que vous me voudrez dire des injures:
Mais penſez vous que mes ſouſpirs ne le faſſent point de faire tous les iours quatre cens lieuës ? & eſtant eſloigné d’elle comme ie ſuis, que ſçay-ie ſi i’aymerois vne morte, ou vne infidelle ;	Mais pensez vous que mes soupirs ne le fassent point de faire tous les jours quatre cens lieues? et étant éloigné d’elle comme je suis, que sais-je si j’aimerais une morte, ou une infidèle;
Ie n’ay point reçeu de faueurs d’elle qui ne ſoient pluſtoſt des marques de ſa vertu que des teſmoignages de ſon amour, & ſi elle auoit perdu tout ce qu’elle me donna iamais, elle ne le trouueroit pas ſeulement à dire :	Je n’ai point reçu de faveurs d’elle qui ne soient plutôt des marques de sa vertu que des témoignages de son amour, et si elle avait perdu tout ce qu’elle me donna jamais, elle ne le trouverait pas seulement à dire:
Ce n’eſt donc qu’à ma parole à qui ie ſuis obligé, & non point à ſon affection ;	Ce n’est donc qu’à ma parole à qui je suis obligé, et non point à son affection;
or pour celle-là ie l’eſtimerois trop ſi i’en faiſois plus d’eſtat que les Princes ne font de la leur, & ie ſerois bien glorieux ſi ie voulois que ce que i’ay dit à l’oreille euſt plus de force que les lettres patentes, & les Edits.	or pour celle-là je l’estimerais trop si j’en faisais plus d’état que les Princes ne font de la leur, et je serais bien glorieux si je voulais que ce que j’ai dit à l’oreille eût plus de force que les lettres patentes, et les Édits.
C’eſt vn point decidé en Theologie, que cent faux ſermens d’vn amoureux ne font pas la moitié d’vn peché mortel, & que ce n’eſt que le Dieu des Poëtes que nous offenſons par noſtre pariure.	C’est un point décidé en théologie, que cent faux serments d’un amoureux ne font pas la moitié d’un péché mortel, et que ce n’est que le Dieu des poètes que nous offensons par notre parjure.
De plus, ie la fais iuge  elle-meſme, ſi luy ayant rendu du ſeruice, elle doit trouuer mauuais qu’vn autre m’en donne la recompenſe, & que i’ayme mieux eſtre heureux que de ne l’eſtre pas :	De plus, je la fais juge  elle-même, si lui ayant rendu du service, elle doit trouver mauvais qu’un autre m’en donne la récompense, et que j’aime mieux être heureux que de ne l’être pas:
