A MONSEIGNEUR Mᵍⁿᵉᵘʳ. 	À MONSEIGNEUR MONSEIGNEUR. 
Les Romains, & les Carthaginois également ambitieux, & inſatiables, à qui leurs Oracles avoient promis l’Empire de toute la terre, equiperent à diverſes repriſes des prodigieuſes Flottes, pour voir qui emporteroit le deſſus, à la fin ceux-cy furent reduits aux extremitez, & contraints apres avoir ſouffert la faim, & la ruiné de leur Ville de ſouffrir la ſervitude. 	Les Romains, et les Carthaginois également ambitieux, et insatiables, à qui leurs Oracles avaient promis l'Empire de toute la terre, équipèrent à diverses reprises des prodigieuses Flottes, pour voir qui emporterait le dessus, à la fin ceux-ci furent réduits aux extrémités, et contraints après avoir souffert la faim, et la ruiné de leur Ville de souffrir la servitude. 
Pompée donna la chaſſe à tous les Pyrates, qui incommodoient le negoce des Romains, avec une Flotte de 500. 	Pompée donna la chasse à tous les Pirates, qui incommodaient le négoce des Romains, avec une Flotte de 500. 
Vaiſſeaux, ſur leſquels il y avoit ſix vingts mille hommes. 	Vaisseaux, sur lesquels il y avait six vingts mille hommes. 
Le dernier des enfans de Pompée, qui s’eſtoit ſauvé de la bataille qu’il avoit perduë en Eſpagne contre Jules Ceſar, renoüant les pieces de ſon naufrage, ſe rendit ſi redoutable par le grand nombre de vaiſſeaux qu’il ramaſſa en picorant ſur l’Ocean, que les Gouverneurs que Ceſar avoit laiſſés en Eſpagne ne ſceurent jamais le defaire. 	Le dernier des enfants de Pompée, qui s'était sauvé de la bataille qu'il avait perdue en Espagne contre Jules César, renouant les pièces de son naufrage, se rendit si redoutable par le grand nombre de vaisseaux qu'il ramassa en picorant sur l'Océan, que les Gouverneurs que César avait laissés en Espagne ne surent jamais le défaire. 
Depuis Auguſte vint ſouvent aux priſes avec luy, meſme à la teſte de mille Navires, & huit cens Galeres, mais avec fort peu de ſuccés. 	Depuis Auguste vint souvent aux prises avec lui, même à la tête de mille Navires, et huit cents Galères, mais avec fort peu de succès. 
Peu de temps apres Antoine ſecondé des flottes d’onze Rois compoſées de 800. 	Peu de temps après Antoine secondé des flottes d'onze Rois composées de 800. 
Vaiſſeaux attaqua vigoureuſement la Flotte d'Auguſte compoſée ſeulement de 400. 	Vaisseaux attaqua vigoureusement la Flotte d'Auguste composée seulement de 400. 
Vaiſſeaux de combat, mais il apprit par l’entiere ruine de ſes Navires (qui eſtoient comme autant de Chaſteaux flotans, ou villes fortes) que la vertu ne fut contrainte de ſe ſoûmettre à la force, & que les plus grands partis ne ſont pas tousjours les plus heureux. 	Vaisseaux de combat, mais il apprit par l'entière ruine de ses Navires (qui étaient comme autant de Châteaux flottants, ou villes fortes) que la vertu ne fut contrainte de se soumettre à la force, et que les plus grands partis ne sont pas toujours les plus heureux. 
Diodore dit que Starobates Roy de l’Inde (mentionné cy devant) oppoſa à Semiramis quatre mille Vaiſſeaux. 	Diodore dit que Starobates Roi de l'Inde (mentionné ci-devant) opposa à Semiramis quatre mille Vaisseaux. 
Trebellius Pollio aſſeure que l’Empereur Claude a laiſſé par eſcrit que dans la Flotte des Gots qu’il fit couler à fond dans la Mer Adriatique, on auoit conté deux mille Vaiſſeaux de toutes ſortes. 	Trebellius Pollio assure que l'Empereur Claude a laissé par écrit que dans la Flotte des Goths qu'il fit couler à fond dans la Mer Adriatique, on avait conté deux mille Vaisseaux de toutes sortes. 
L’armée que Baſiliſcus employa contre Genſeric, eſtoit de mille Vaiſſeaux, au dire de Nichephore. 	L'armée que Basiliscus employa contre Genséric, était de mille Vaisseaux, au dire de Nicéphore. 
Pendant qu’Alaric pilloit Rome, le Conſul Eraclianus dreſſa en Afrique une flotte de 3070. 	Pendant qu'Alaric pillait Rome, le Consul Eraclianus dressa en Afrique une flotte de 3070. 
Vaiſſeaux, au rapport de Freculphus au tom.2. l.5. c.17. 	Vaisseaux, au rapport de Freculphus au tom.2. l.5. c.17. 
Ceux de Dannemarc, comme eſcrit Saxo l.9. en ont dreſſé autresfois une de mille ſept-cens Vaiſſeaux, auſquels commandoient les enfans de leur Roy Regnerus. 	Ceux de Danemark, comme écrit Saxo l.9. en ont dressé autrefois une de mille sept-cents Vaisseaux, auxquels commandaient les enfants de leur Roi Regnerus. 
Il fait encore mention d’une autre, qu’il fait monter à un ſi prodigieux nombre que cela me le fait couler ſous le ſilence. 	Il fait encore mention d'une autre, qu'il fait monter à un si prodigieux nombre que cela me le fait couler sous le silence. 
Celle ſur laquelle Ringo fit paſſer à ſon Armée le Detroit d’Oreſunte, ſe montoit à 2500. 	Celle sur laquelle Ringo fit passer à son Armée le Détroit d'Øresund, se montait à 2500. 
Vaiſſeaux, dit le meſme Saxo, l.8. 	Vaisseaux, dit le même Saxo, l.8. 
Bref, ſi c’eſtoit mon but, de faire un volume de ce chapitre, je vous pourrois rapporter icy deux mille autres batailles de ces peuples, qui par leur foreſt de vaiſſeaux ſembloient eſtre ſuffiſans de maiſtriſer l'Univers. 	Bref, si c'était mon but, de faire un volume de ce chapitre, je vous pourrais rapporter ici deux mille autres batailles de ces peuples, qui par leur forêt de vaisseaux semblaient être suffisants de maîtriser l'Univers. 
Je le finiray donc en diſant que nos Anciens Gaulois, Bataves, & François, ne furent moins puiſſans que les precedens, puiſque les Hiſtoires nous enſeignent que par leur generoſité & leur zele ils planterent leurs étandars ſur toutes les coſtes du Levant, du Midy, du Nord, & de l'Occident, de ſorte que tout le monde fut leur païs, & leur puiſſance qui n’eſtoit égalée que par l’orgueil fut ſi grande, qu’ils ont fait ſouvent porter des fers à ceux qui avoient autresfois porté les Septres & les Diademes. 	Je le finirai donc en disant que nos Anciens Gaulois, Bataves, et Français, ne furent moins puissants que les précédents, puisque les Histoires nous enseignent que par leur générosité et leur zèle ils plantèrent leurs étendards sur toutes les côtes du Levant, du Midi, du Nord, et de l'Occident, de sorte que tout le monde fut leur pays, et leur puissance qui n'était égalée que par l'orgueil fut si grande, qu'ils ont fait souvent porter des fers à ceux qui avaient autrefois porté les Sceptres et les Diadèmes. 
CHAPITRE III. 	CHAPITRE III. 
Des Utilités qui reviennent à un Estat par les Navigations. 	Des Utilités qui reviennent à un État par les Navigations. 
C e n’eſt pas peu de gloire à la Marine que Jeſus Chriſt eſtant icy bas a daigné de ſanctifier par ſon attouchement les eaux du Jourdain, & de la Mer de Galilée ;	Ce n'est pas peu de gloire à la Marine que Jésus Christ étant ici-bas a daigné de sanctifier par son attouchement les eaux du Jourdain, et de la Mer de Galilée;
& qu’il a bien voulu choiſir une barque, pour de la, comme d’un Thrône de Majeſté s’y faire reconnoitre Seigneur de l'Univers, enſeignant les peuples, commandant à la Mer de calmer ſes flots, & aux vents d’accoiſer leur tempeſtes. 	et qu'il a bien voulu choisir une barque, pour de la, comme d'un Trône de Majesté s'y faire reconnaître Seigneur de l'Univers, enseignant les peuples, commandant à la Mer de calmer ses flots, et aux vents d'accoiser leur tempêtes. 
C’a eſté à de pauvres Peſcheurs & Matelots qu’il s’eſt rendu le plus familier, & plus debonnaire, leur annonçant ſa doctrine celeſte, & les élevant aux plus eminentes Charges & Dignitez de ſon Royaume. 	C'a été à de pauvres Pêcheurs et Matelots qu'il s'est rendu le plus familier, et plus débonnaire, leur annonçant sa doctrine céleste, et les élevant aux plus éminentes Charges et Dignités de son Royaume. 
Ce fut ſur les eaux qu’il inſtitua ſon premier & plus neceſſaire Sacrement, pour communiquer ſa grace au genre humain, & le nettoyer de tous ſes crimes & forfaits. 	Ce fut sur les eaux qu'il institua son premier et plus nécessaire Sacrement, pour communiquer sa grâce au genre humain, et le nettoyer de tous ses crimes et forfaits. 
Bref, d’une infinité de moyens, dont ſa ſageſſe pouvoit ſe ſervir, pour porter aux hommes par tout l’Univers les bonnes nouvelles de leur ſalut & redemption, il a choiſi, comme le plus utile & le plus convenable celuy de la Navigation, tantoſt par des Marchands, comme celuy qui l’an 1567. baptiza, & convertit à la Foy le Roy de Solor avec toute ſa Famille, & cét autre Ingletius Genois qui l’an 1280. convertit la pluspart des Juifs de Majorque;	Bref, d'une infinité de moyens, dont sa sagesse pouvait se servir, pour porter aux hommes par tout l'Univers les bonnes nouvelles de leur salut et redemption, il a choisi, comme le plus utile et le plus convenable celui de la Navigation, tantôt par des Marchands, comme celui qui l'an 1567. baptisa, et convertit à la Foi le Roi de Solor avec toute sa Famille, et cet autre Ingletius Gênois qui l'an 1280. convertit la plupart des Juifs de Majorque;
tantoſt ſe ſervant de ſes Apoſtres, comme de S. 	tantôt se servant de ses Apôtres, comme de S. 
Paul & de S. 	Paul et de S. 
Thomas, qui ont parcouru & ſanctifié preſque tout le monde par leur travaux, & particulierement celuy-cy qui ſe pouſſa juſques à Malabar, Soctora, Cambave, Mogor, Catay, & l’Amerique Auſtrale, pour y annoncer l’Evangile. 	Thomas, qui ont parcouru et sanctifié presque tout le monde par leur travaux, et particulièrement celui-ci qui se poussa jusques à Malabar, Soctora, Cambave, Mogor, Catay, et l'Amérique Australe, pour y annoncer l'Évangile. 
Si nous voulons parler politiquement, nous jugerons d’abord que la Navigation eſt tres-utile, voire neceſſaire à la vie humaine, car combien y a-il d’endroits dans l'Univers ſteriles, & infructueux, & qui ont manque de bled, de vin, & d'une quantité de choſes neceſſaires, & dont ils ne peuvent eſtre pourveus que par la Mer?	Si nous voulons parler politiquement, nous jugerons d'abord que la Navigation est très-utile, voire nécessaire à la vie humaine, car combien y a-il d'endroits dans l'Univers stériles, et infructueux, et qui ont manque de blé, de vin, et d'une quantité de choses nécessaires, et dont ils ne peuvent être pourvus que par la Mer?
Une autre commodité qui en revient, eſt le tranſport des poids & fardeaux, qui ſe fait incomparablement avec plus de facilité par Mer, que par Terre, eſtant conſtant ouun ſeul Vaiſſeau de 300. tonneaux portera plus grand poids, que n’en ſçauroient porter ou trainer deux mille chevaux:	Une autre commodité qui en revient, est le transport des poids et fardeaux, qui se fait incomparablement avec plus de facilité par Mer, que par Terre, étant constant ouun seul Vaisseau de 300. tonneaux portera plus grand poids, que n'en sauraient porter ou traîner deux mille chevaux:
puis qu'un tel vaiſſeau portera 600000. peſant, & qu’on ne ſçauroit donner 200. peſant à un cheval pour faire traitte pluſieurs jours, outre que le Vaiſſeau porte tout ſon attirail, là où par la ſeule nourriture de deux mille chevaux, & des hommes neceſſaires à les conduire, il faudroit un petit corps d’armée, tant ſont grands les embaras. 	puisqu'un tel vaisseau portera 600000. pesant, et qu'on ne saurait donner 200. pesant à un cheval pour faire traite plusieurs jours, outre que le Vaisseau porte tout son attirail, là où par la seule nourriture de deux mille chevaux, et des hommes nécessaires à les conduire, il faudrait un petit corps d'armée, tant sont grands les embarras. 
Il y a une infinité d’endroits, où on ne ſçauroit mener ni chevaux, ni charettes, où nous nous tranſportons par eau, recueillans, dans un ſeul vaiſſeau une infinité de choſes, qui eſtoient éparſes en des lieux fort éloignés, & qu’on n’ût jamais pû avoir par d’autres voyes. 	Il y a une infinité d'endroits, où on ne saurait mener ni chevaux, ni charrettes, où nous nous transportons par eau, recueillant, dans un seul vaisseau une infinité de choses, qui étaient éparses en des lieux fort éloignés, et qu'on n'eût jamais pû avoir par d'autres voies. 
Le chemin eſt beaucoup plus court & plus facile, & de moindre couſt par eau que par terre;	Le chemin est beaucoup plus court et plus facile, et de moindre coût par eau que par terre;
car bien qu’un Navire n’aille pas plus viſte qu’un bon cheval, il a toutesfois cecy de particulier, qu’il vogue jour & nuict ſans s’arreſter, que lors que les vents ſont du tout contraires. 	car bien qu'un Navire n'aille pas plus vite qu'un bon cheval, il a toutefois ceci de particulier, qu'il vogue jour et nuit sans s'arrêter, que lors que les vents sont du tout contraires. 
Il tient tousjours une méme route, & va par une ligne droite, & un chemin le plus court:	Il tient toujours une même route, et va par une ligne droite, et un chemin le plus court:
Que s’il falloit aller par terre aux Moluques querir des épiceries, ou bien ſeulement en Eſpagne querir des raiſins, olives, ou figues, elles nous reviendroient à plus cher prix que l’or du Potozi, ou les Perles du Sein Perſique, & une orange de Portugal nous couſteroit plus chere qu’un bon chapon. 	Que s'il fallait aller par terre aux Moluques quérir des épiceries, ou bien seulement en Espagne quérir des raisins, olives, ou figues, elles nous reviendraient à plus cher prix que l'or du Potosi, ou les Perles du Sein Persique, et une orange de Portugal nous coûterait plus chère qu'un bon chapon. 
Il n'y  a ville ni lieu au monde, pour deſert qu'il ſoit, & ſterile, qui ne devienne riche & opulent, ſi le commerce de la Mer y eſt en vigueur. 	Il n'y a ville ni lieu au monde, pour désert qu'il soit, et stérile, qui ne devienne riche et opulent, si le commerce de la Mer y est en vigueur. 
Je ne veux pas ici vous faire un long recit de la naiſſance, du progrés, de l’avancement & de la decadence de Tyr, Sidon, Athenes, Carthage, & de quantité de Villes maritimes, dont l’opulence, les delices & la puiſſance ont donne de la jalouſie à toutes leurs voiſines, tant que les Navigations ont eſté en credit chez elles, & ſont retournées à leu ancien domaine & mediocrité, incontinent qu'elles ont negligé cét employ, on que dautres le leur ont ravi des mains. 	Je ne veux pas ici vous faire un long récit de la naissance, du progrès, de l'avancement et de la décadence de Tyr, Sidon, Athènes, Carthage, et de quantité de Villes maritimes, dont l'opulence, les délices et la puissance ont donne de la jalousie à toutes leurs voisines, tant que les Navigations ont été en crédit chez elles, et sont retournées à leu ancien domaine et médiocrité, incontinent qu'elles ont negligé cet emploi, on que d'autres le leur ont ravi des mains. 
Je me contenteray de vous dire en paſſant, ce qui eſt connu de tous:	Je me contenterai de vous dire en passant, ce qui est connu de tous:
Que Veniſe n’eſtoit du commencement qu’une retraite de pauvres Peſcheurs:	Que Venise n'était du commencement qu'une retraite de pauvres Pêcheurs:
Que Genes l’une des belles Villes du monde, ne fut baſtie que dans un païs entouré de montagnes, mais ſi infertiles que les habitans ſont contraints de faire apporter de la terre de dehors, pour cultiver leurs Jardins. 	Que Gênes l'une des belles Villes du monde, ne fut bâtie que dans un pays entouré de montagnes, mais si infertiles que les habitants sont contraints de faire apporter de la terre de dehors, pour cultiver leurs Jardins. 
Et ceux qui ont hanté les Coſtes de Perſe, ſçavent que la ville d’Ormus eſt plantée au lieu le plus deſaſtreux & diſgracié Nature qui ſoit au monde. 	Et ceux qui ont hanté les Côtes de Perse, savent que la ville d'Ormus est plantée au lieu le plus désastreux et disgracié Nature qui soit au monde. 
Le terroire y eſt ſi ſec & aride, qu'en toute l'Iſle il n’y a pas une ſource ni goute d’eau douce, ſi les plongeons ne la vont querir au fond de la Mer, ou ſi l’on ne l’apporte de loin par bateau. 	Le terroir y est si sec et aride, qu'en toute l'Île il n'y a pas une source ni goute d'eau douce, si les plongeons ne la vont quérir au fond de la Mer, ou si l'on ne l'apporte de loin par bateau. 
Il n'y croiſt ni arbre, ni arbriſſeau, qui puiſſe donner quelque ombrage dans ce païs, où tout grille des ardeurs du Soleil. 	Il n'y croît ni arbre, ni arbrisseau, qui puisse donner quelque ombrage dans ce pays, où tout grille des ardeurs du Soleil. 
Il n'y a pas méme un brin d’herbe;	Il n'y a pas même un brin d'herbe;
ce n’eſt qu'une continuelle miniere de ſel & de ſoufre. 	ce n'est qu'une continuelle minière de sel et de soufre. 
On y voit pluſieurs Volcans qui par fois s’embraſent d’une telle façon, qu’il y a quelque temps que l’eſpace de ſix ans toute l’Iſle reſſembloit à une fournaiſe, on en voit encore les cendres & les rochers convertis en briques. 	On y voit plusieurs Volcans qui par fois s'embrasent d'une telle façon, qu'il y a quelque temps que l'espace de six ans toute l'Île ressemblait à une fournaise, on en voit encore les cendres et les rochers convertis en briques. 
En toute l'iſle on ne peut nourrir ni beuf, ni mouton, ni volaille, ni aucun animal privé ou ſauvage, & il ne s’y trouve rien, qui ne ſoit apporté des païs étrangers. 	En toute l'île on ne peut nourrir ni bœuf, ni mouton, ni volaille, ni aucun animal privé ou sauvage, et il ne s'y trouve rien, qui ne soit apporté des pays étrangers. 
Les tremblemens de terre y ſont fort frequens. 	Les tremblements de terre y sont fort fréquents. 
Les chaleurs y ſont plus exceſſives que ſous l’Equateur, & ceux qui y demeurent ſont forcez d’eſtre toute la journée ſous des tentes & pavillons dans des Gondoles pleines d’eau. 	Les chaleurs y sont plus excessives que sous l'Équateur, et ceux qui y demeurent sont forcés d'être toute la journée sous des tentes et pavillons dans des Gondoles pleines d'eau. 
D'où viendroit donc une ſi grande affluence de monde dans un païs, où les Serpents mémes ne peuvent pas vivre, ſinon du grand trafic qui y eſt, & de l'abord univerſel de toutes les Nations, qui fait que n’y croiſſant rien, tout y abonde, non ſeulement les choſes neceſſaires à la vie de l'homme, mais encore celles que les plus voluptueux peuvent deſirer. 	D'où viendrait donc une si grande affluence de monde dans un pays, où les Serpents mêmes ne peuvent pas vivre, sinon du grand trafic qui y est, et de l'abord universel de toutes les Nations, qui fait que n'y croissant rien, tout y abonde, non seulement les choses nécessaires à la vie de l'homme, mais encore celles que les plus voluptueux peuvent désirer. 
Car eſtant à l’emboucheure du Sein Perſique, c’eſt le commun rende-vous de tous les Vaiſſeaux Marchands d’Orient, Turcs, Indiens, Arabes, Perſans, Abyſſins, Armeniens, Georgiens, & de toutes les Contrées de noſtre Europe;	Car étant à l'embouchure du Sein Persique, c'est le commun rende-vous de tous les Vaisseaux Marchands d'Orient, Turcs, Indiens, Arabes, Persans, Abyssins, Arméniens, Géorgiens, et de toutes les Contrées de notre Europe;
de ſorte que cette Iſle inſupportable pour ſa chaleur, & qu’on devroit fuir pour ſa ſterilité, foiſonne en peuples Originaires & Etrangers, qui y vivent en tel luxe, & telles voluptés (qui font fondre le corps en toute ſorte de corruptions) qu’on craint juſtement que pour ſes crimes elle ne ſoit un jour abyſmée comme une Sodome:	de sorte que cette Île insupportable pour sa chaleur, et qu'on devrait fuir pour sa stérilité, foisonne en peuples Originaires et Étrangers, qui y vivent en tel luxe, et telles voluptés (qui font fondre le corps en toute sorte de corruptions) qu'on craint justement que pour ses crimes elle ne soit un jour abîmée comme une Sodome:
Les Navigations changeant ainſi le leu le plus miſerable de la Terre, en un des plus delicieux que l'on y connoiſſe. 	Les Navigations changeant ainsi le leu le plus misérable de la Terre, en un des plus délicieux que l'on y connaisse. 
Que ſi le trafic, & tout le negoce qui ſe pratique durant la paix, recoit tant d'utilités des Navigations, que dirons nous des guerres qui arrivent journellement entre les Eſtats & Princes Voiſins?	Que si le trafic, et tout le négoce qui se pratique durant la paix, reçoit tant d'utilités des Navigations, que dirons-nous des guerres qui arrivent journellement entre les États et Princes Voisins?
C’eſt ſur Mers, qu’elles ſe font avec peu de frais, ſe terminent en peu d’heures, & font en peu de jours des effets que les plus nombreuſes Armées de terre n’oſeroient ſe promettre en pluſieurs années. 	C'est sur Mers, qu'elles se font avec peu de frais, se terminent en peu d'heures, et font en peu de jours des effets que les plus nombreuses Armées de terre n'oseraient se promettre en plusieurs années. 
Le ſoldat ne patit que fort peu, ſon vivre eſt aſſeuré, il eſt preſt à toute heure au combat. 	Le soldat ne pâtit que fort peu, son vivre est assuré, il est prêt à toute heure au combat. 
Il ſe range Volontiers à l’ordre qui y eſt établi:	Il se range Volontiers à l'ordre qui y est établi:
là où ſur terre les miſeres qu’il ſouffre, & qu’il fait ſouffir en tous lieux par ſes rodomontades & tyrannies, ſont telles que perſonne ne les peut comprendre, ni les décrire. 	là où sur terre les misères qu'il souffre, et qu'il fait souffir en tous lieux par ses rodomontades et tyrannies, sont telles que personne ne les peut comprendre, ni les décrire. 
Que l’on ne m’objette pas que c’eſt une folie de monter ſur mer, lors que l’on peut cheminer par terre, & qu’il y a de la temerité à entre-prendre des voyages ſi perilleux;	Que l'on ne m'objecte pas que c'est une folie de monter sur mer, lors que l'on peut cheminer par terre, et qu'il y a de la témérité à entreprendre des voyages si périlleux;
ce ne ſont là que des raiſonnemens de quelques ames femelles, abbatuës, & aveuglées de leur amour propre. 	ce ne sont là que des raisonnements de quelques âmes femelles, abattues, et aveuglées de leur amour propre. 
Je dis au contraire que ce ſont des marques de grands courages, & d’ames vrayement Nobles & Martiales, voire qui ſurpaſſent de beaucoup la valeur des Gentils-hommes champeſtres (qui ne s’étudient le plus ſouvent qu’à theſauriſer, & méme par de voyes illicites, pour ſatisfaire à leur ambition, leur lubricité, & molleſſe) d'engager à ſourcils élevés & à cœurs hors de branle ſur des Vaiſſeaux leurs perſonnes, voire toutes leurs chevances, pour en trouver des plus grandes au milieu des Mers les plus éloignées, y portant, & en tirant des denrées, dont ils profitent à double uſure, en avancent le bien public, & conſervent la liberté de leur Patrie. 	Je dis au contraire que ce sont des marques de grands courages, et d'âmes vraiment Nobles et Martiales, voire qui surpassent de beaucoup la valeur des Gentilshommes champêtres (qui ne s'étudient le plus souvent qu'à thésauriser, et même par de voies illicites, pour satisfaire à leur ambition, leur lubricité, et mollesse) d'engager à sourcils élevés et à cœurs hors de branle sur des Vaisseaux leurs personnes, voire toutes leurs chevances, pour en trouver des plus grandes au milieu des Mers les plus éloignées, y portant, et en tirant des denrées, dont ils profitent à double usure, en avancent le bien public, et conservent la liberté de leur Patrie. 
Et non de merveille ſi les plus grands Politiques trouvent bon que tous les Eſtats, qui veulent mettre chez eux le commerce en credit, ou garder celuy qu'ils y ont acquis, faſſent eſtimer, honorer, & élever aux Charges ceux qui l'exercent. 	Et non de merveille si les plus grands Politiques trouvent bon que tous les États, qui veulent mettre chez eux le commerce en crédit, ou garder celui qu'ils y ont acquis, fassent estimer, honorer, et élever aux Charges ceux qui l'exercent.
Et de fait, il eſt impoſſible qu'une perſonne qui a bien reüſſi dans le trafic, ne ſoit homme de bien, loial, fidele, prudent, judicieux, accort, debonnaire, qu'il ne ſçache le fort & le faible d'un Païs, la façon de pratiquer	Et de fait, il est impossible qu'une personne qui a bien réussi dans le trafic, ne soit homme de bien, loyal, fidèle, prudent, judicieux, accord, débonnaire, qu'il ne sache le fort et le faible d'un Pays, la façon de pratiquer
